***********************************************
   274 :78.316277+-0.000000i   -35.109341+-0.000000i
   275 :96.481400+-0.000000i   -37.664246+0.000000i
   276 :102.812469+-0.000000i   -38.035599+0.000000i
   277 :95.439919+-0.000000i   -36.487331+-0.000000i
   278 :74.748199+-0.000000i   -33.188011+0.000000i
   279 :43.329834+-0.000000i   -28.142941+0.000000i
   280 :5.530940+-0.000000i   -21.225925+0.000000i
   281 :-33.314419+-0.000000i   -12.301653+-0.000000i
   282 :-67.814857+-0.000000i   -1.400798+-0.000000i
   283 :-93.454552+0.000000i   11.112305+0.000000i
   284 :-107.327415+0.000000i   24.430605+-0.000000i
   285 :-108.565811+0.000000i   37.309181+-0.000000i
   286 :-98.370438+-0.000000i   48.191505+-0.000000i
   287 :-79.660210+-0.000000i   55.454670+-0.000000i
   288 :-56.415756+-0.000000i   57.717960+0.000000i
   289 :-32.860970+0.000000i   54.154034+0.000000i
   290 :-12.636700+-0.000000i   44.727448+-0.000000i
   291 :1.853418+0.000000i   30.299971+-0.000000i
   292 :9.819466+0.000000i   12.564054+0.000000i
   293 :12.102407+0.000000i   -6.185452+0.000000i
   294 :10.853914+-0.000000i   -23.414551+0.000000i
   295 :8.948035+-0.000000i   -36.767822+-0.000000i
   296 :9.260027+0.000000i   -44.463356+-0.000000i
   297 :13.964486+0.000000i   -45.587925+-0.000000i
   298 :24.001011+0.000000i   -40.226665+-0.000000i
   299 :38.819107+-0.000000i   -29.409555+0.000000i
   300 :56.447777+-0.000000i   -14.889209+-0.000000i
   301 :73.880638+0.000000i   1.203502+0.000000i
   302 :87.681572+-0.000000i   16.742542+0.000000i
   303 :94.696724+-0.000000i   29.959951+0.000000i
   304 :92.711876+-0.000000i   39.689468+-0.000000i
   305 :80.928596+0.000000i   45.465195+0.000000i
   306 :60.157372+0.000000i   47.470509+0.000000i
   307 :32.696003+-0.000000i   46.360325+-0.000000i
   308 :1.910842+0.000000i   43.017319+0.000000i
   309 :-28.373384+-0.000000i   38.306389+0.000000i
   310 :-54.570148+0.000000i   32.888775+-0.000000i
   311 :-73.951332+0.000000i   27.138308+-0.000000i
   312 :-85.077904+0.000000i   21.170641+-0.000000i
   313 :-87.961067+-0.000000i   14.962652+0.000000i
   314 :-83.919518+0.000000i   8.520780+-0.000000i
   315 :-75.181618+-0.000000i   2.034668+-0.000000i
   316 :-64.322075+-0.000000i   -4.032382+0.000000i
   317 :-53.657940+-0.000000i   -8.957775+0.000000i
   318 :-44.741070+0.000000i   -11.880666+0.000000i
   319 :-38.055122+0.000000i   -12.007885+0.000000i
   320 :-32.979069+-0.000000i   -8.853920+0.000000i
   321 :-28.027798+0.000000i   -2.449862+-0.000000i
   322 :-21.307110+-0.000000i   6.540522+-0.000000i
   323 :-11.084306+0.000000i   16.837229+-0.000000i
   324 :3.662180+-0.000000i   26.710085+-0.000000i
   325 :22.838919+0.000000i   34.265144+-0.000000i
   326 :45.077080+-0.000000i   37.799320+-0.000000i
   327 :67.870728+-0.000000i   36.150364+-0.000000i
   328 :87.981750+0.000000i   28.961208+-0.000000i
   329 :102.053093+0.000000i   16.799131+0.000000i
   330 :107.288002+0.000000i   1.099697+-0.000000i
